word,memoryTechnique,meaning,exampleSentence
consume,consume...on sth,v. 消耗，消费,consume doing sth
consume,,v. 沉溺，浪费,The memories consumed him.
consumption,,n. 消费量,Their average daily consumption of fruit is around 200 grams.
consuming,,adj 消费的，强烈的,My sadness is consuming.
drink up,eat up,,use up
expend,,v. 花费，耗尽,The energy expended in the process of digestion.
expense,,n. 费用，开支,People do it at the expense of everything that was a constant in their lives.
at the expense of,,以...为代价,人们这样做的代价是牺牲他们生活中一直存在的一切。
expenditure,,n. 支出，花费,The expenditure of energy in the process of digestion.
exhaust,,n. (排出的）废气；排出装置,The exhaust of a car.
exhaust,,v. 耗尽，用尽，使精疲力尽,The long walk exhausted him.
spend,spend time/money on sth,,spend time/money doing sth
waste,,v. 浪费，挥霍,Don't waste your time on him.
---,,,
social,瘦瘦的,,He is a social person.
social,,adj. 社交的；合群的，n. 社交活动，联谊会,We should organize more social activities.
society,,n. 社会，社团，协会,The society of the future will be a knowledge society.
sociable,sociable ≈ friendly,adj. 友善的，好交际的,She is a sociable person.
associate,associate = as-sociate,v. 联合，结合,More sleep in old age，however，is associate with better health，and most older people would feel better and feel alert if they slept for longer periods，he said.（associate with 与...有关）
,,然而，老年人睡眠时间越长，健康状况越好。他说，大多数老年人如果睡眠时间长，会感觉更好、更警觉。,
consociate,con-sociate,v. 结交，结合，联合,The two countries consociated to fight against the enemy.
dissociate,dis-sociate,v. 分离，分裂,Girls need to learn how to dissociate emotion from reason.(dissociate emotion from reason 情感与理智分离)
---,,,
community,,n. 交流，社区,The community is a place where people can communicate with each other.
communication,,n. 交流，沟通,Communication is the key to success.
communicate,communicate with sb,v. 交流，沟通,Community have communicate with each other through role-play.
,,,Indeed，according to surveys，employers have expressed a preference for students who receive a broad-based education that has taught them to write well，think critically，research creatively，and communicate easily.
,,事实上，根据调查，雇主更喜欢接受过广泛教育的学生，这种教育使他们学会了写作，批判性思维，创造性研究和轻松交流。,
preference,,n. 偏爱，优先,Employers have expressed a preference for students who receive a broad-based education.
broadly-base,,adj. 广泛基础的,Employers have expressed a preference for students who receive a broadly-based education.
indeed,,adv. 确实，的确,Indeed，according to surveys，employers have expressed a preference for students who receive a broad-based education.
sociology,astrology(占星术),,astronomy(天文学)
Biology,Meth emetics,,Accounting(会计学)
required course/ compulsory course,,必修课,The required course is a course that must be taken.
optional course,,选修课,The optional course is a course that can be taken.
---,,,
tend,tend to do sth,v. 倾向于，易于,Romantic love tend to yield where family or social pressures are strong.
yield,,v. 屈服，让步,
tend,,v. 照料，照管,For years he tends her as a volunteer.
tender,,adj. 温柔的，柔软的,The tender touch of a mother.
tendency,,n. 倾向，趋势,There is a growing tendency for people to work at home instead of in the offices.
trend,,n. 强调发展，变化的趋势,The prices of houses are trending upwards.
-trend = stretch(拉紧),,,
attend,出席我的人生，照顾我，献身于我,v. 出席；照顾；献身于,The main thing is to attend to the injured.
attention,pay attention to sth,,
extend,extend = ex-tend,v. 延伸，扩大,We are trying to extend its life span.
extend,,v. 给予，提供,We extend our deepest sympathy to you.
extensive,,adj. 广泛的，大量的,China has great extended its influence in world affairs.
extension,,n. 延长，扩展,The extension of the deadline.
intend,intend = in-tend,v. 意图，计划，打算,in————
intend,,,I don't intend it to be.
,,这并非我本意。,
,,,Where did Lewis intend to park his car where came back from work one night?
,,Lewis打算晚上下班回来时把车停在哪里？,
intention,,n. 意图，志向,It is committed with good intentions.
,,这是出于好意的。 committed with good intentions 出于好意,
tension,,n. 紧张；张力T,Well，I had a lot of tension while you have been studying hard on your course in D.C.
,,嗯，你在华盛顿学习课程的时候，我压力很大。,
pretend,pretend to do sth,v. 假装，伪装,It pretend that things are really okay when they are not.
---,,,


